Instagram 155.0.0.37.107 Android (29/10; 320dpi; 720x1280; Xiaomi; Redmi Note 7; lavender; qcom; en_US)
Instagram 161.0.0.37.108 Android (29/10; 360dpi; 1080x2340; Xiaomi; Redmi K40; alioth; qcom; en_US)
Instagram 156.0.0.37.107 Android (30/10; 400dpi; 1080x2340; OPPO; F17 Pro; CPH2119; mediatek; en_US)
Instagram 160.0.0.37.107 Android (29/10; 420dpi; 1080x2400; Realme; X50 Pro; RMX2076; snapdragon; en_US)
Instagram 159.0.0.37.106 Android (30/10; 320dpi; 1080x2340; POCO; M2 Pro; gram; qcom; en_US)
Instagram 155.0.0.37.107 Android (30/10; 360dpi; 1080x2400; OPPO; Reno 6 Pro 5G; CPH2247; mediatek; en_US)
Instagram 158.0.0.37.106 Android (29/10; 320dpi; 1080x2340; Vivo; Y53s; PD2079F; mediatek; en_US)
Instagram 156.0.0.37.107 Android (30/10; 400dpi; 1080x2400; Xiaomi; Mi 11 Lite; peach; qcom; en_US)
Instagram 153.0.0.37.106 Android (29/10; 320dpi; 1080x2400; OPPO; Reno 6 5G; CPH2231; mediatek; en_US)
Instagram 160.0.0.37.107 Android (30/10; 360dpi; 1080x2400; OnePlus; 9 Pro; volt; qcom; en_US)
Instagram 157.0.0.37.108 Android (29/10; 320dpi; 1080x2400; Xiaomi; Mi 11; alioth; qcom; en_US)
Instagram 155.0.0.37.107 Android (29/10; 360dpi; 1080x2340; Huawei; P30 Pro; L29; kirin; en_US)
Instagram 159.0.0.37.106 Android (29/10; 320dpi; 1080x2400; Motorola; Moto G100; Nio; qcom; en_US)
Instagram 160.0.0.37.107 Android (30/10; 400dpi; 1080x2400; Samsung; Galaxy Z Flip3; clover; exynos; en_US)
Instagram 157.0.0.37.106 Android (29/10; 320dpi; 1080x2400; OnePlus; Nord 2; ebba; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 400dpi; 1080x2400; Vivo; V20 Pro; PD2032F; mediatek; en_US)
Instagram 159.0.0.37.106 Android (30/10; 320dpi; 1080x2400; Realme; X3 SuperZoom; RMX2081; qcom; en_US)
Instagram 156.0.0.37.107 Android (30/10; 360dpi; 1080x2400; Xiaomi; Mi 11X; alioth; qcom; en_US)
